L,P,F,B1,B2,y
-1,-1,-1,-1,-1,7
1,1,-1,-1,-1,7
1,-1,1,-1,-1,6.5
-1,1,1,-1,-1,7
1,-1,-1,-1,1,5
-1,1,-1,-1,1,5
-1,-1,1,-1,1,3.5
1,1,1,-1,1,4.5
-1,-1,-1,1,-1,7
1,1,-1,1,-1,7.5
1,-1,1,1,-1,7
-1,1,1,1,-1,4.5
1,-1,-1,1,1,14
-1,1,-1,1,1,11
-1,-1,1,1,1,13
1,1,1,1,1,13.5
